,date,Amazon,Mercado Libre,Liverpool,Best Buy,Linio,isPartial,Year,Month
0,2015-12-20,12,27,30,8,4,False,2015,12
1,2015-12-27,11,29,23,6,4,False,2015,12
2,2016-01-03,9,27,17,4,4,False,2016,1
3,2016-01-10,8,25,14,3,3,False,2016,1
4,2016-01-17,7,25,13,3,3,False,2016,1
5,2016-01-24,7,24,12,3,2,False,2016,1
6,2016-01-31,7,22,11,2,3,False,2016,1
7,2016-02-07,7,21,11,2,3,False,2016,2
8,2016-02-14,7,21,10,3,3,False,2016,2
9,2016-02-21,6,22,10,2,2,False,2016,2
10,2016-02-28,6,22,10,2,2,False,2016,2
11,2016-03-06,7,22,11,3,2,False,2016,3
12,2016-03-13,7,22,12,3,2,False,2016,3
13,2016-03-20,8,24,13,3,3,False,2016,3
14,2016-03-27,7,24,12,3,3,False,2016,3
15,2016-04-03,7,22,11,2,3,False,2016,4
16,2016-04-10,7,22,13,2,3,False,2016,4
17,2016-04-17,7,22,15,2,2,False,2016,4
18,2016-04-24,8,21,21,2,3,False,2016,4
19,2016-05-01,8,21,15,3,3,False,2016,5
20,2016-05-08,8,20,14,3,3,False,2016,5
21,2016-05-15,7,23,12,2,3,False,2016,5
22,2016-05-22,7,22,11,2,3,False,2016,5
23,2016-05-29,10,22,19,3,4,False,2016,5
24,2016-06-05,8,23,19,2,2,False,2016,6
25,2016-06-12,8,23,15,3,3,False,2016,6
26,2016-06-19,8,22,14,3,2,False,2016,6
27,2016-06-26,8,22,14,3,3,False,2016,6
28,2016-07-03,9,23,15,3,3,False,2016,7
29,2016-07-10,10,24,14,3,2,False,2016,7
30,2016-07-17,8,24,14,3,3,False,2016,7
31,2016-07-24,8,25,15,3,3,False,2016,7
32,2016-07-31,9,26,14,3,3,False,2016,7
33,2016-08-07,9,25,13,3,3,False,2016,8
34,2016-08-14,9,29,15,3,3,False,2016,8
35,2016-08-21,8,31,14,3,2,False,2016,8
36,2016-08-28,8,30,12,3,2,False,2016,8
37,2016-09-04,8,27,13,3,3,False,2016,9
38,2016-09-11,8,28,15,3,2,False,2016,9
39,2016-09-18,8,32,14,3,2,False,2016,9
40,2016-09-25,8,32,16,3,2,False,2016,9
41,2016-10-02,8,34,15,3,2,False,2016,10
42,2016-10-09,8,35,22,3,3,False,2016,10
43,2016-10-16,8,35,16,3,2,False,2016,10
44,2016-10-23,8,35,14,3,3,False,2016,10
45,2016-10-30,8,36,15,3,2,False,2016,10
46,2016-11-06,9,36,16,4,3,False,2016,11
47,2016-11-13,15,38,37,9,4,False,2016,11
48,2016-11-20,21,38,27,9,4,False,2016,11
49,2016-11-27,14,38,27,5,3,False,2016,11
50,2016-12-04,13,39,29,4,3,False,2016,12
51,2016-12-11,14,41,26,5,4,False,2016,12
52,2016-12-18,15,42,28,7,4,False,2016,12
53,2016-12-25,14,39,25,5,4,False,2016,12
54,2017-01-01,13,39,22,5,4,False,2017,1
