,date,Amazon,Mercado Libre,Liverpool,Best Buy,Linio,isPartial,Year,Month
0,2020-01-05,52,81,45,6,1,False,2020,1
1,2020-01-12,45,74,35,5,1,False,2020,1
2,2020-01-19,43,73,40,5,1,False,2020,1
3,2020-01-26,42,69,33,5,1,False,2020,1
4,2020-02-02,42,69,33,5,1,False,2020,2
5,2020-02-09,41,64,30,5,1,False,2020,2
6,2020-02-16,39,64,34,4,1,False,2020,2
7,2020-02-23,40,67,31,4,1,False,2020,2
8,2020-03-01,39,66,32,4,1,False,2020,3
9,2020-03-08,39,67,38,4,1,False,2020,3
10,2020-03-15,43,63,27,5,1,False,2020,3
11,2020-03-22,47,58,24,4,1,False,2020,3
12,2020-03-29,50,63,34,4,1,False,2020,3
13,2020-04-05,60,75,37,4,1,False,2020,4
14,2020-04-12,65,87,43,6,1,False,2020,4
15,2020-04-19,56,76,35,6,2,False,2020,4
16,2020-04-26,62,79,62,7,1,False,2020,4
17,2020-05-03,63,84,72,7,1,False,2020,5
18,2020-05-10,65,86,39,7,1,False,2020,5
19,2020-05-17,74,95,51,11,2,False,2020,5
20,2020-05-24,72,96,52,11,2,False,2020,5
21,2020-05-31,60,90,44,7,2,False,2020,5
22,2020-06-07,66,92,60,6,1,False,2020,6
23,2020-06-14,66,92,58,6,1,False,2020,6
24,2020-06-21,61,86,47,6,1,False,2020,6
25,2020-06-28,63,94,42,6,1,False,2020,6
26,2020-07-05,66,97,45,6,1,False,2020,7
27,2020-07-12,66,100,45,6,1,False,2020,7
28,2020-07-19,67,94,45,6,2,False,2020,7
29,2020-07-26,64,93,43,6,2,False,2020,7
30,2020-08-02,60,90,42,7,1,False,2020,8
31,2020-08-09,58,88,41,8,1,False,2020,8
32,2020-08-16,59,89,43,8,1,False,2020,8
33,2020-08-23,52,76,37,8,1,False,2020,8
34,2020-08-30,50,73,35,6,1,False,2020,8
35,2020-09-06,47,72,33,5,1,False,2020,9
36,2020-09-13,48,70,35,6,1,False,2020,9
37,2020-09-20,46,67,35,5,1,False,2020,9
38,2020-09-27,47,66,45,5,1,False,2020,9
39,2020-10-04,45,68,47,4,1,False,2020,10
40,2020-10-11,60,72,33,4,1,False,2020,10
41,2020-10-18,45,68,34,4,1,False,2020,10
42,2020-10-25,44,66,31,4,1,False,2020,10
43,2020-11-01,48,70,38,6,1,False,2020,11
44,2020-11-08,71,92,87,14,2,False,2020,11
45,2020-11-15,67,88,65,11,2,False,2020,11
46,2020-11-22,61,79,47,29,1,False,2020,11
47,2020-11-29,58,83,43,54,1,False,2020,11
48,2020-12-06,59,84,58,14,1,False,2020,12
